mall_name,mall_address,mall_contact_no,image_link,fb_link,logo_link,geocode,latitude,longitude,formatted_address,province
Glorietta,"Glorietta, Ayala Center, Makati City","+ 63 2 7752 7272
+ 63 2 7795-9595",https://s3-ap-southeast-1.amazonaws.com/interimweb/images/Mall+Photos/Glorietta/Glorietta+01+edited.jpg,facebook.com/ILoveGlorietta,https://s3-ap-southeast-1.amazonaws.com/interimweb/images/Photos/GLORIETTA+LOGO.jpg-Hi+Res.jpg,"{'address_components': [{'long_name': 'Ayala Center', 'short_name': 'Ayala Center', 'types': ['premise']}, {'long_name': '6811', 'short_name': '6811', 'types': ['street_number']}, {'long_name': 'Ayala Avenue', 'short_name': 'Ayala Ave', 'types': ['route']}, {'long_name': 'Makati', 'short_name': 'Makati', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '1226', 'short_name': '1226', 'types': ['postal_code']}], 'formatted_address': 'Ayala Center, 6811 Ayala Ave, Makati, 1226 Metro Manila, Philippines', 'geometry': {'location': {'lat': 14.5512398, 'lng': 121.0253682}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 14.5525887802915, 'lng': 121.0267171802915}, 'southwest': {'lat': 14.5498908197085, 'lng': 121.0240192197085}}}, 'place_id': 'ChIJeQv0PhvJlzMRADhQ3HsC3iM', 'plus_code': {'compound_code': 'H22G+F4 Makati, Metro Manila, Philippines', 'global_code': '7Q63H22G+F4'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",14.5512398,121.0253682,"Ayala Center, 6811 Ayala Ave, Makati, 1226 Metro Manila, Philippines",Metro Manila
Alabang Town Center,"Alabang Town Center, Muntinlupa City, 1780",+63 2 7795 9595,https://s3-ap-southeast-1.amazonaws.com/interimweb/images/Mall+Photos/Alabang+Town+Center/ATC+01.jpg,facebook.com/AlabangTownCenter,https://s3-ap-southeast-1.amazonaws.com/interimweb/images/Photos/NewATC_logo.JPG,"{'address_components': [{'long_name': 'Alabang', 'short_name': 'Alabang', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Muntinlupa', 'short_name': 'Muntinlupa', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Alabang, Muntinlupa, Metro Manila, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 14.4289332, 'lng': 121.053131}, 'southwest': {'lat': 14.4044033, 'lng': 121.0316982}}, 'location': {'lat': 14.4183645, 'lng': 121.0384987}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 14.4289332, 'lng': 121.053131}, 'southwest': {'lat': 14.4044033, 'lng': 121.0316982}}}, 'place_id': 'ChIJSdYf2jPQlzMR-O9msGPZYI8', 'types': ['political', 'sublocality', 'sublocality_level_1']}",14.4183645,121.0384987,"Alabang, Muntinlupa, Metro Manila, Philippines",Metro Manila
MarQuee Mall,"MarQuee Mall, Francisco G. Nepomuceno Avenue, Angeles City, Pampanga 2009",+63 45 304 0110 to 0111,https://s3-ap-southeast-1.amazonaws.com/interimweb/images/Mall+Photos/MarQuee+Mall/Marquee+01.jpg,facebook.com/MarqueeMall,https://s3-ap-southeast-1.amazonaws.com/interimweb/images/Photos/Logo+Marquee+Mall.jpg,"{'address_components': [{'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': 'Angeles', 'short_name': 'AC', 'types': ['locality', 'political']}, {'long_name': 'Pampanga', 'short_name': 'Pampanga', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Luzon', 'short_name': 'Central Luzon', 'types': ['administrative_area_level_1', 'political']}], 'formatted_address': 'Francisco G. Nepomuceno Ave., Pulung, Maragul, Angeles City 2009, Angeles, Pampanga, Philippines', 'geometry': {'location': {'lat': 15.162638, 'lng': 120.609509}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 15.1639869802915, 'lng': 120.6108579802915}, 'southwest': {'lat': 15.1612890197085, 'lng': 120.6081600197085}}}, 'place_id': 'ChIJIxI9xAfyljMRhPEgCQy2p0s', 'plus_code': {'compound_code': '5J75+3R Angeles, Pampanga, Philippines', 'global_code': '7Q725J75+3R'}, 'types': ['establishment', 'point_of_interest']}",15.162638,120.609509,"Francisco G. Nepomuceno Ave., Pulung, Maragul, Angeles City 2009, Angeles, Pampanga, Philippines",Pampanga
Greenbelt,"Greenbelt Mall, Legazpi Street, Makati City","+63 2 7795-9595
+63 2 7729 2137",https://s3-ap-southeast-1.amazonaws.com/interimweb/images/Mall+Photos/Greenbelt/Greenbelt+01+edited.jpg,facebook.com/Greenbelt.Ayala Malls,https://s3-ap-southeast-1.amazonaws.com/interimweb/images/Photos/GB+Logo.jpg,"{'address_components': [{'long_name': 'Legazpi Street', 'short_name': 'Legazpi Street', 'types': ['route']}, {'long_name': 'Makati', 'short_name': 'Makati', 'types': ['locality', 'political']}, {'long_name': 'Kalakhang Maynila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Legazpi Street, Makati, Kalakhang Maynila, Philippines', 'geometry': {'location': {'lat': 14.5529302, 'lng': 121.0210029}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.5542791802915, 'lng': 121.0223518802915}, 'southwest': {'lat': 14.5515812197085, 'lng': 121.0196539197085}}}, 'place_id': 'ChIJYe1vMg7JlzMRJ3T2MLaxBf4', 'plus_code': {'compound_code': 'H23C+5C Makati, Metro Manila, Philippines', 'global_code': '7Q63H23C+5C'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",14.5529302,121.0210029,"Legazpi Street, Makati, Kalakhang Maynila, Philippines",Metro Manila
TriNoma,"TriNoma EDSA cor. North Avenue, QC","+ 63 2 7901 3000
+63 2 7795 9595",https://s3-ap-southeast-1.amazonaws.com/interimweb/images/Mall+Photos/TriNoma/Trinoma+01.jpg,facebook.com/TriNoma.Ayala Malls,https://s3-ap-southeast-1.amazonaws.com/interimweb/images/Photos/logo_TRINOMA.jpg,"{'address_components': [{'long_name': 'Trimona Mall', 'short_name': 'Trimona Mall', 'types': ['establishment', 'point_of_interest']}, {'long_name': '173', 'short_name': '173', 'types': ['street_number']}, {'long_name': 'Epifanio de los Santos Avenue', 'short_name': 'EDSA', 'types': ['route']}, {'long_name': 'Quezon City', 'short_name': 'QC', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '1105', 'short_name': '1105', 'types': ['postal_code']}], 'formatted_address': 'EDSA corner, Trimona Mall, 173 Epifanio de los Santos Ave, Quezon City, 1105 Metro Manila, Philippines', 'geometry': {'location': {'lat': 14.651318, 'lng': 121.0342935}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 14.6526669802915, 'lng': 121.0356424802915}, 'southwest': {'lat': 14.6499690197085, 'lng': 121.0329445197085}}}, 'place_id': 'ChIJV-alYv22lzMRo0yq2q7ztWw', 'plus_code': {'compound_code': 'M22M+GP Quezon City, Metro Manila, Philippines', 'global_code': '7Q63M22M+GP'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",14.651318,121.0342935,"EDSA corner, Trimona Mall, 173 Epifanio de los Santos Ave, Quezon City, 1105 Metro Manila, Philippines",Metro Manila
Ayala Center Cebu,"Cebu Business Park, Archbishop Reyes Ave. Cebu City 6000",+63 32 888 3777,https://s3-ap-southeast-1.amazonaws.com/interimweb/images/Mall+Photos/Ayala+Center+Cebu/ACC+01.jpg,facebook.com/AyalaCebu,https://s3-ap-southeast-1.amazonaws.com/interimweb/images/Photos/new+ACC+Logo+(April).JPG,"{'address_components': [{'long_name': '6000', 'short_name': '6000', 'types': ['street_number']}, {'long_name': 'Archbishop Reyes Avenue', 'short_name': 'Archbishop Reyes Ave', 'types': ['route']}, {'long_name': 'Cebu City', 'short_name': 'Cebu City', 'types': ['locality', 'political']}, {'long_name': 'Cebu', 'short_name': 'Cebu', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Visayas', 'short_name': 'Central Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '6000', 'short_name': '6000', 'types': ['postal_code']}], 'formatted_address': 'L6, Metro Gaissno Ayala Center, Food Avenue, Kiosk , Ayala Mall Cebu, 6000 Archbishop Reyes Ave, Cebu City, 6000 Cebu, Philippines', 'geometry': {'location': {'lat': 10.3176631, 'lng': 123.9039931}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 10.3190120802915, 'lng': 123.9053420802915}, 'southwest': {'lat': 10.3163141197085, 'lng': 123.9026441197085}}}, 'place_id': 'ChIJoXVhPT-ZqTMRHozTt6nsIwM', 'plus_code': {'compound_code': '8W93+3H Cebu City, Cebu, Philippines', 'global_code': '7Q258W93+3H'}, 'types': ['establishment', 'food', 'point_of_interest']}",10.3176631,123.9039931,"L6, Metro Gaissno Ayala Center, Food Avenue, Kiosk , Ayala Mall Cebu, 6000 Archbishop Reyes Ave, Cebu City, 6000 Cebu, Philippines",Cebu
Market! Market!,"McKinley Parkway, Bonifacio Global City, Taguig 1634",+ 63 2 7795 9595 local 1903,https://s3-ap-southeast-1.amazonaws.com/interimweb/images/Mall+Photos/Market!+Market!/M2+01.jpg,facebook.com/MarketMarket,https://s3-ap-southeast-1.amazonaws.com/interimweb/images/Photos/Market!+Market!+logo.png,"{'address_components': [{'long_name': '1634', 'short_name': '1634', 'types': ['street_number']}, {'long_name': 'McKinley Parkway', 'short_name': 'McKinley Pkwy', 'types': ['route']}, {'long_name': 'Taguig', 'short_name': 'Taguig', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'SM Aura Premier, 1634 McKinley Pkwy, Taguig, Metro Manila, Philippines', 'geometry': {'location': {'lat': 14.546298, 'lng': 121.054461}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 14.5476469802915, 'lng': 121.0558099802915}, 'southwest': {'lat': 14.5449490197085, 'lng': 121.0531120197085}}}, 'place_id': 'ChIJw0piEO3IlzMR1aNnAKVXbw8', 'plus_code': {'compound_code': 'G3W3+GQ Taguig, Metro Manila, Philippines', 'global_code': '7Q63G3W3+GQ'}, 'types': ['bakery', 'establishment', 'food', 'point_of_interest', 'store']}",14.546298,121.054461,"SM Aura Premier, 1634 McKinley Pkwy, Taguig, Metro Manila, Philippines",Metro Manila
Bonifacio High Street,"Bonifacio Global City, Taguig",+ 63 2 478 8669,https://s3-ap-southeast-1.amazonaws.com/interimweb/images/Mall+Photos/Bonifacio+High+Street/BHS+01.jpg,facebook.com/BoniHighStreet,https://s3-ap-southeast-1.amazonaws.com/interimweb/images/Photos/BHS+logo+-+vertical.JPG,"{'address_components': [{'long_name': 'Bonifacio Global City', 'short_name': 'Bonifacio Global City', 'types': ['neighborhood', 'political']}, {'long_name': 'Taguig', 'short_name': 'Taguig', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Bonifacio Global City, Taguig, Metro Manila, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 14.5620393, 'lng': 121.0609167}, 'southwest': {'lat': 14.5241836, 'lng': 121.022172}}, 'location': {'lat': 14.5408671, 'lng': 121.0503183}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 14.5620393, 'lng': 121.0609167}, 'southwest': {'lat': 14.5241836, 'lng': 121.022172}}}, 'place_id': 'ChIJr5Qp-vPIlzMRCuRgR6-IyYk', 'types': ['neighborhood', 'political']}",14.5408671,121.0503183,"Bonifacio Global City, Taguig, Metro Manila, Philippines",Metro Manila
Fairview Terraces,"Quirino Highway corner Maligaya Drive, Barangay Pasong Putik Novaliches, Quezon City 1118",+63 2 956 3888,https://s3-ap-southeast-1.amazonaws.com/interimweb/images/Mall+Photos/Fairview+Terraces/FT+01.jpg,facebook.com/FairviewTerraces,https://s3-ap-southeast-1.amazonaws.com/interimweb/images/Photos/FT+logo.jpg,"{'address_components': [{'long_name': 'Quezon City', 'short_name': 'QC', 'types': ['locality', 'political']}, {'long_name': 'Novaliches', 'short_name': 'Novaliches', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '1123', 'short_name': '1123', 'types': ['postal_code']}], 'formatted_address': 'Quirino Highway, Pasong Putik Proper, Novaliches, Quezon City, 1123 Metro Manila, Philippines', 'geometry': {'location': {'lat': 14.7362904, 'lng': 121.0608575}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.7376393802915, 'lng': 121.0622064802915}, 'southwest': {'lat': 14.7349414197085, 'lng': 121.0595085197085}}}, 'place_id': 'ChIJkyaxIWmwlzMRxMczEoh_cRQ', 'plus_code': {'compound_code': 'P3P6+G8 Quezon City, Metro Manila, Philippines', 'global_code': '7Q63P3P6+G8'}, 'types': ['establishment', 'point_of_interest']}",14.7362904,121.0608575,"Quirino Highway, Pasong Putik Proper, Novaliches, Quezon City, 1123 Metro Manila, Philippines",Metro Manila
U. P. Town Center,"249, U.P. Town Center, 216 Katipunan Ave., Diliman, Quezon City",+63 2 795 9595 local 1904,https://s3-ap-southeast-1.amazonaws.com/interimweb/images/Mall+Photos/U.P.+Town+Center/UPTC+01.jpg,facebook.com/UPTownCenterAyalaMalls,https://s3-ap-southeast-1.amazonaws.com/interimweb/images/Photos/UPTC+Logo+final.jpg,"{'address_components': [{'long_name': '249', 'short_name': '249', 'types': ['subpremise']}, {'long_name': '216', 'short_name': '216', 'types': ['street_number']}, {'long_name': 'Katipunan Avenue', 'short_name': 'Katipunan Ave', 'types': ['route']}, {'long_name': 'Diliman', 'short_name': 'Diliman', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Quezon City', 'short_name': 'QC', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '1108', 'short_name': '1108', 'types': ['postal_code']}], 'formatted_address': '249, 216 Katipunan Ave, Diliman, Quezon City, 1108 Metro Manila, Philippines', 'geometry': {'location': {'lat': 14.6507422, 'lng': 121.0752145}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 14.6520911802915, 'lng': 121.0765634802915}, 'southwest': {'lat': 14.6493932197085, 'lng': 121.0738655197085}}}, 'place_id': 'ChIJHao_OWO3lzMRjOuMs_XND84', 'plus_code': {'compound_code': 'M32G+73 Quezon City, Metro Manila, Philippines', 'global_code': '7Q63M32G+73'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",14.6507422,121.0752145,"249, 216 Katipunan Ave, Diliman, Quezon City, 1108 Metro Manila, Philippines",Metro Manila
