mall_name,mall_address,mall_contact_no,image_link,mall_link,fb_link,geocode,latitude,longitude,formatted_address,province
Robinsons Place Manila,"Pedro Gil corner Adriatico Streets, Ermita, Manila",(02) 8310-3333 local 10,,http://www.robinsonsmalls.com/mall-info/robinsons-place-manila,www.facebook.com/RobPlaceManila,"{'address_components': [{'long_name': 'Pedro Gil Street', 'short_name': 'Pedro Gil St', 'types': ['route']}, {'long_name': 'Ermita', 'short_name': 'Ermita', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Manila', 'short_name': 'Manila', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '1000', 'short_name': '1000', 'types': ['postal_code']}], 'formatted_address': 'Pedro Gil St, Ermita, Manila, 1000 Metro Manila, Philippines', 'geometry': {'location': {'lat': 14.5758315, 'lng': 120.9839636}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.5771804802915, 'lng': 120.9853125802915}, 'southwest': {'lat': 14.5744825197085, 'lng': 120.9826146197085}}}, 'place_id': 'ChIJd6g3HSnKlzMRpiniz94iGFI', 'plus_code': {'compound_code': 'HXGM+8H Manila, Metro Manila, Philippines', 'global_code': '7Q62HXGM+8H'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",14.5758315,120.9839636,"Pedro Gil St, Ermita, Manila, 1000 Metro Manila, Philippines",Metro Manila
Robinsons Galleria Ortigas,"EDSA corner Ortigas Avenue, Quezon City",(02) 8397-1888 local 32389,http://www.robinsonsmalls.com/image.jsp?id=19188,http://www.robinsonsmalls.com/mall-info/robinsons-galleria-ortigas,www.facebook.com/RobGalleriaOfficial,"{'address_components': [{'long_name': 'Ortigas Avenue', 'short_name': 'Ortigas Ave', 'types': ['route']}, {'long_name': 'Ortigas Center', 'short_name': 'Ortigas Center', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Quezon City', 'short_name': 'QC', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines', 'geometry': {'location': {'lat': 14.5910506, 'lng': 121.0598379}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.5923995802915, 'lng': 121.0611868802915}, 'southwest': {'lat': 14.5897016197085, 'lng': 121.0584889197085}}}, 'place_id': 'ChIJD_r5qxnIlzMR4X64T9Ra3tY', 'plus_code': {'compound_code': 'H3R5+CW Quezon City, Metro Manila, Philippines', 'global_code': '7Q63H3R5+CW'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",14.5910506,121.0598379,"Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines",Metro Manila
Robinsons Magnolia,"Aurora Blvd. corner Dona Hemady St., Quezon City",(02) 8654-9619 local 102,http://www.robinsonsmalls.com/image.jsp?id=1199,http://www.robinsonsmalls.com/mall-info/robinsons-magnolia,www.facebook.com/RobinsonsMagnolia,"{'address_components': [{'long_name': 'corner', 'short_name': 'corner', 'types': ['street_number']}, {'long_name': 'Doña Hemady Street', 'short_name': 'Doña Hemady St', 'types': ['route']}, {'long_name': 'Quezon City', 'short_name': 'QC', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Upper Ground Level, Robinsons Magnolia, Aurora Blvd, corner Doña Hemady St, Quezon City, Metro Manila, Philippines', 'geometry': {'location': {'lat': 14.6148246, 'lng': 121.0383686}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 14.6161735802915, 'lng': 121.0397175802915}, 'southwest': {'lat': 14.6134756197085, 'lng': 121.0370196197085}}}, 'place_id': 'ChIJa3-xz823lzMRyPUg3PO2zes', 'plus_code': {'compound_code': 'J27Q+W8 Quezon City, Metro Manila, Philippines', 'global_code': '7Q63J27Q+W8'}, 'types': ['establishment', 'food', 'point_of_interest', 'restaurant']}",14.6148246,121.0383686,"Upper Ground Level, Robinsons Magnolia, Aurora Blvd, corner Doña Hemady St, Quezon City, Metro Manila, Philippines",Metro Manila
Robinsons Metro East,"Marcos Highway, Barangay Dela Paz, Pasig City",(02) 8249-0452 to 54,http://www.robinsonsmalls.com/image.jsp?id=1207,http://www.robinsonsmalls.com/mall-info/robinsons-metro-east,www.facebook.com/RobMetroEast,"{'address_components': [{'long_name': 'Marcos Highway', 'short_name': 'Marcos Highway', 'types': ['route']}, {'long_name': 'Barangay Dela Paz', 'short_name': 'Barangay Dela Paz', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Pasig', 'short_name': 'Pasig', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '1800', 'short_name': '1800', 'types': ['postal_code']}], 'formatted_address': 'Marcos Highway, Barangay Dela Paz, Pasig, 1800 Metro Manila, Philippines', 'geometry': {'location': {'lat': 14.6195009, 'lng': 121.1002237}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.6208498802915, 'lng': 121.1015726802915}, 'southwest': {'lat': 14.6181519197085, 'lng': 121.0988747197085}}}, 'place_id': 'ChIJr8DH0zi4lzMR_3cW0SPVQAY', 'plus_code': {'compound_code': 'J492+R3 Pasig, Metro Manila, Philippines', 'global_code': '7Q63J492+R3'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",14.6195009,121.1002237,"Marcos Highway, Barangay Dela Paz, Pasig, 1800 Metro Manila, Philippines",Metro Manila
Forum Robinsons,"30 Edsa corner Pioneer St., Mandaluyong City",(02) 8398-8058,,http://www.robinsonsmalls.com/mall-info/forum-robinsons,www.facebook.com/ForumRobinsons,"{'address_components': [{'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': 'Mandaluyong', 'short_name': 'Mandaluyong', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}], 'formatted_address': ""Robinson's Place Pioneer, 30 EDSA corner Pioneer Street, Mandaluyong City, Metro Manila, Mandaluyong, Metro Manila, Philippines"", 'geometry': {'location': {'lat': 14.5712453, 'lng': 121.0479509}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.5725942802915, 'lng': 121.0492998802915}, 'southwest': {'lat': 14.5698963197085, 'lng': 121.0466019197085}}}, 'place_id': 'ChIJrYJwH0XIlzMRgDYMZDSEox4', 'plus_code': {'compound_code': 'H2CX+F5 Mandaluyong, Metro Manila, Philippines', 'global_code': '7Q63H2CX+F5'}, 'types': ['establishment', 'point_of_interest', 'store']}",14.5712453,121.0479509,"Robinson's Place Pioneer, 30 EDSA corner Pioneer Street, Mandaluyong City, Metro Manila, Mandaluyong, Metro Manila, Philippines",Metro Manila
Robinsons Novaliches,"Brgy. Pasong Putik, Quirino Highway, Novaliches, Quezon City",(02) 8461-7540,,http://www.robinsonsmalls.com/mall-info/robinsons-novaliches,www.facebook.com/RobinsonsNovaliches,"{'address_components': [{'long_name': 'Quirino Highway', 'short_name': 'Quirino Hwy', 'types': ['route']}, {'long_name': 'Novaliches', 'short_name': 'Novaliches', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Quezon City', 'short_name': 'QC', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '63011', 'short_name': '63011', 'types': ['postal_code']}], 'formatted_address': 'Quirino Hwy, Novaliches, Quezon City, 63011 Metro Manila, Philippines', 'geometry': {'location': {'lat': 14.7357604, 'lng': 121.056419}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.7371093802915, 'lng': 121.0577679802915}, 'southwest': {'lat': 14.7344114197085, 'lng': 121.0550700197085}}}, 'place_id': 'ChIJCwE2HGiwlzMRhPV3gZebCr8', 'plus_code': {'compound_code': 'P3P4+8H Quezon City, Metro Manila, Philippines', 'global_code': '7Q63P3P4+8H'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",14.7357604,121.056419,"Quirino Hwy, Novaliches, Quezon City, 63011 Metro Manila, Philippines",Metro Manila
Robinsons Otis,"Brgy. 831 Zone 90 Dr. Paz Mendoza-Guanzon St. Paco, Manila",(02) 8559-31-51 | (02) 8559-30-61,,http://www.robinsonsmalls.com/mall-info/robinsons-otis,www.facebook.com/RobinsonsOtis,"{'address_components': [{'long_name': 'Paco', 'short_name': 'Paco', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Manila', 'short_name': 'Manila', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Level 1, Robinsons Otis, Brgy. 831 Zone 90 Dr. Paz Mendoza-Guanzon St, Paco, Manila, Metro Manila, Philippines', 'geometry': {'location': {'lat': 14.5876793, 'lng': 120.9962395}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.5890282802915, 'lng': 120.9975884802915}, 'southwest': {'lat': 14.5863303197085, 'lng': 120.9948905197085}}}, 'partial_match': True, 'place_id': 'ChIJTTII2ozJlzMR6ea1rlkNrHU', 'plus_code': {'compound_code': 'HXQW+3F Manila, Metro Manila, Philippines', 'global_code': '7Q62HXQW+3F'}, 'types': ['establishment', 'home_goods_store', 'point_of_interest', 'store']}",14.5876793,120.9962395,"Level 1, Robinsons Otis, Brgy. 831 Zone 90 Dr. Paz Mendoza-Guanzon St, Paco, Manila, Metro Manila, Philippines",Metro Manila
Robinsons Town Mall Malabon,"#5 Governor Pascual Avenue corner Crispin Street, Tinajeros Malabon City",(02) 8236-0950,http://www.robinsonsmalls.com/image.jsp?id=1231,http://www.robinsonsmalls.com/mall-info/robinsons-town-mall-malabon,www.facebook.com/RTMMalabon,"{'address_components': [{'long_name': 'cor', 'short_name': 'cor', 'types': ['street_number']}, {'long_name': 'Crispin Street', 'short_name': 'Crispin St', 'types': ['route']}, {'long_name': 'Malabon', 'short_name': 'Malabon', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '1470', 'short_name': '1470', 'types': ['postal_code']}], 'formatted_address': 'Level 2 Robinsons Town Mall Malabon,#5 Governor Pascual Ave, cor Crispin St, Malabon, 1470 Metro Manila, Philippines', 'geometry': {'location': {'lat': 14.6692927, 'lng': 120.9667637}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 14.6706416802915, 'lng': 120.9681126802915}, 'southwest': {'lat': 14.6679437197085, 'lng': 120.9654147197085}}}, 'place_id': 'ChIJ7Qoczzi0lzMRsD3ijqeKr6I', 'plus_code': {'compound_code': 'MX98+PP Malabon, Metro Manila, Philippines', 'global_code': '7Q62MX98+PP'}, 'types': ['establishment', 'health', 'point_of_interest']}",14.6692927,120.9667637,"Level 2 Robinsons Town Mall Malabon,#5 Governor Pascual Ave, cor Crispin St, Malabon, 1470 Metro Manila, Philippines",Metro Manila
Robinsons Place Las Piñas,"Alabang-Zapote Road, Las Piñas",(02) 8887-0726,http://www.robinsonsmalls.com/image.jsp?id=1227,http://www.robinsonsmalls.com/mall-info/robinsons-place-las-pinas,www.facebook.com/RobPlaceLasPinas,"{'address_components': [{'long_name': 'Alabang–Zapote Road', 'short_name': 'Alabang–Zapote Road', 'types': ['route']}, {'long_name': 'Talon Uno', 'short_name': 'Talon Uno', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Las Pinas', 'short_name': 'Las Pinas', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Alabang–Zapote Road, Talon Uno, Las Pinas, Metro Manila, Philippines', 'geometry': {'location': {'lat': 14.4437006, 'lng': 120.9986632}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.4450495802915, 'lng': 121.0000121802915}, 'southwest': {'lat': 14.4423516197085, 'lng': 120.9973142197085}}}, 'place_id': 'ChIJBfs1rgLOlzMR6W0ccGcQEuw', 'plus_code': {'compound_code': 'CXVX+FF Las Pinas, Metro Manila, Philippines', 'global_code': '7Q62CXVX+FF'}, 'types': ['establishment', 'point_of_interest', 'store']}",14.4437006,120.9986632,"Alabang–Zapote Road, Talon Uno, Las Pinas, Metro Manila, Philippines",Metro Manila
Robinsons Cainta,"Ortigas Ave. Extension, Brgy. Sto. Domingo, Cainta, Rizal",(02) 8656-1964 | (02) 8656-1574,,http://www.robinsonsmalls.com/mall-info/robinsons-cainta,www.facebook.com/RobinsonsCainta,"{'address_components': [{'long_name': 'Ortigas Avenue', 'short_name': 'Ortigas Ave', 'types': ['route']}, {'long_name': 'Stare Miasto', 'short_name': 'Stare Miasto', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Cainta', 'short_name': 'Cainta', 'types': ['locality', 'political']}, {'long_name': 'Rizal', 'short_name': 'Rizal', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Calabarzon', 'short_name': 'Calabarzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '619036', 'short_name': '619036', 'types': ['postal_code']}], 'formatted_address': 'Ortigas Ave, Stare Miasto, Cainta, 619036 Rizal, Philippines', 'geometry': {'location': {'lat': 14.5859248, 'lng': 121.1131355}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.5872737802915, 'lng': 121.1144844802915}, 'southwest': {'lat': 14.5845758197085, 'lng': 121.1117865197085}}}, 'place_id': 'ChIJDQMmrIjHlzMR_SpJ_brCVps', 'plus_code': {'compound_code': 'H4P7+97 Cainta, Rizal, Philippines', 'global_code': '7Q63H4P7+97'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",14.5859248,121.1131355,"Ortigas Ave, Stare Miasto, Cainta, 619036 Rizal, Philippines",Rizal
